frame_idx,host_t_s,infer_ms,fps_p50,tag_id,gt_dist_m,gt_z_m,depth_pred_m,abs_err_m,rel_err,reproj_px
15,1.1571,54.106,17.48,4,0.3142,0.3050,0.3074,0.0024,0.0079,0.241
16,1.2232,53.584,17.56,4,0.3135,0.3052,0.3076,0.0024,0.0080,0.218
17,1.2900,53.599,17.48,4,0.3128,0.3060,0.3086,0.0026,0.0084,0.242
18,1.3567,53.929,17.48,4,0.3127,0.3073,0.3098,0.0025,0.0082,0.200
19,1.4232,53.666,17.48,4,0.3123,0.3086,0.3110,0.0024,0.0079,0.305
20,1.4896,53.470,17.49,4,0.3122,0.3091,0.3116,0.0025,0.0081,0.197
21,1.5561,53.935,17.50,4,0.3119,0.3096,0.3120,0.0025,0.0079,0.344
22,1.6239,53.538,17.49,4,0.3124,0.3107,0.3133,0.0025,0.0081,0.258
23,1.6913,53.488,17.50,4,0.3126,0.3115,0.3143,0.0029,0.0092,0.354
24,1.7584,53.861,17.51,4,0.3134,0.3126,0.3152,0.0026,0.0084,0.329
25,1.8261,53.838,17.50,4,0.3140,0.3132,0.3157,0.0026,0.0083,0.294
26,1.8932,53.314,17.51,4,0.3145,0.3135,0.3164,0.0030,0.0095,0.315
27,1.9595,53.390,17.52,4,0.3148,0.3137,0.3165,0.0028,0.0088,0.299
28,2.0278,53.766,17.51,4,0.3151,0.3141,0.3173,0.0031,0.0100,0.295
29,2.0959,53.888,17.50,4,0.3153,0.3143,0.3170,0.0027,0.0086,0.385
30,2.1631,53.853,17.51,4,0.3162,0.3153,0.3181,0.0027,0.0087,0.262
31,2.2423,53.646,17.50,4,0.3167,0.3164,0.3193,0.0029,0.0092,0.272
32,2.3098,53.741,17.51,4,0.3167,0.3165,0.3196,0.0032,0.0100,0.314
33,2.3778,53.675,17.50,4,0.3171,0.3169,0.3198,0.0029,0.0093,0.292
34,2.4440,53.678,17.51,4,0.3183,0.3182,0.3212,0.0030,0.0094,0.257
35,2.5122,53.630,17.50,4,0.3182,0.3180,0.3211,0.0031,0.0097,0.299
36,2.5793,54.116,17.50,4,0.3173,0.3167,0.3195,0.0027,0.0087,0.146
37,2.6452,53.656,17.51,,,,,,,
38,2.7138,54.152,17.50,4,0.3159,0.3095,0.3124,0.0029,0.0093,0.255
39,2.7816,53.957,17.51,4,0.3163,0.3087,0.3110,0.0023,0.0075,0.322
40,2.8490,54.009,17.50,4,0.3166,0.3106,0.3133,0.0026,0.0084,0.250
41,2.9168,54.185,17.50,4,0.3171,0.3139,0.3167,0.0028,0.0090,0.281
42,2.9848,53.980,17.50,4,0.3190,0.3172,0.3193,0.0021,0.0067,0.327
43,3.0523,54.052,17.50,4,0.3201,0.3194,0.3227,0.0033,0.0103,0.196
44,3.1197,54.137,17.49,4,0.3212,0.3208,0.3236,0.0028,0.0088,0.083
45,3.1909,56.955,17.48,4,0.3208,0.3203,0.3238,0.0035,0.0109,0.313
46,3.2582,53.712,17.49,4,0.3178,0.3170,0.3199,0.0028,0.0089,0.293
47,3.3249,53.623,17.50,4,0.3139,0.3132,0.3163,0.0031,0.0098,0.275
48,3.3920,53.657,17.49,4,0.3108,0.3101,0.3129,0.0027,0.0088,0.260
49,3.4586,53.821,17.50,4,0.3088,0.3080,0.3108,0.0028,0.0091,0.222
50,3.5260,53.585,17.50,4,0.3067,0.3060,0.3091,0.0030,0.0100,0.310
51,3.5933,53.633,17.50,4,0.3049,0.3041,0.3072,0.0031,0.0101,0.301
52,3.6590,53.535,17.50,,,,,,,
53,3.7254,53.589,17.50,4,0.3066,0.3050,0.3076,0.0027,0.0087,0.390
54,3.7923,53.760,17.50,4,0.3067,0.3033,0.3059,0.0027,0.0088,0.400
55,3.8586,53.518,17.51,4,0.3068,0.3014,0.3043,0.0029,0.0096,0.186
56,3.9248,53.645,17.51,4,0.3067,0.3014,0.3038,0.0024,0.0080,0.217
57,3.9935,54.259,17.51,4,0.3074,0.3030,0.3056,0.0026,0.0086,0.209
58,4.0608,53.363,17.51,4,0.3080,0.3050,0.3078,0.0028,0.0092,0.153
59,4.1287,53.392,17.51,4,0.3088,0.3070,0.3099,0.0029,0.0095,0.192
60,4.1963,53.929,17.51,4,0.3096,0.3084,0.3115,0.0030,0.0099,0.201
61,4.2737,53.827,17.51,4,0.3102,0.3090,0.3122,0.0032,0.0103,0.276
62,4.3427,53.810,17.51,4,0.3107,0.3093,0.3125,0.0031,0.0101,0.211
63,4.4094,53.706,17.51,4,0.3108,0.3086,0.3117,0.0031,0.0102,0.161
64,4.4768,53.763,17.51,4,0.3114,0.3078,0.3105,0.0028,0.0089,0.375
65,4.5438,53.383,17.51,4,0.3125,0.3072,0.3099,0.0027,0.0088,0.252
66,4.6105,53.455,17.51,4,0.3129,0.3073,0.3098,0.0025,0.0082,0.232
67,4.6772,53.657,17.51,4,0.3125,0.3084,0.3115,0.0031,0.0101,0.358
68,4.7430,53.334,17.51,4,0.3106,0.3084,0.3130,0.0046,0.0148,0.786
69,4.8092,53.248,17.52,4,0.3127,0.3114,0.3141,0.0027,0.0087,0.311
70,4.8758,53.512,17.52,4,0.3124,0.3107,0.3138,0.0031,0.0100,0.215
71,4.9431,53.333,17.53,4,0.3115,0.3097,0.3127,0.0030,0.0095,0.292
72,5.0102,53.408,17.53,4,0.3107,0.3091,0.3118,0.0027,0.0088,0.360
73,5.0763,53.626,17.53,4,0.3093,0.3075,0.3112,0.0037,0.0120,0.414
74,5.1446,53.388,17.53,4,0.3094,0.3065,0.3101,0.0036,0.0118,0.447
75,5.2126,55.266,17.53,4,0.3095,0.3055,0.3083,0.0028,0.0092,0.217
76,5.2806,53.379,17.52,4,0.3094,0.3049,0.3077,0.0028,0.0093,0.233
77,5.3478,54.144,17.52,4,0.3094,0.3058,0.3085,0.0027,0.0090,0.273
78,5.4191,55.718,17.52,4,0.3088,0.3066,0.3102,0.0035,0.0116,0.429
79,5.4905,58.308,17.52,4,0.3092,0.3079,0.3107,0.0028,0.0091,0.301
80,5.5634,57.497,17.51,4,0.3093,0.3081,0.3112,0.0031,0.0099,0.266
81,5.6371,58.288,17.51,4,0.3086,0.3075,0.3104,0.0030,0.0096,0.276
82,5.7113,58.043,17.51,4,0.3080,0.3066,0.3099,0.0033,0.0109,0.348
83,5.7819,57.930,17.51,4,0.3085,0.3062,0.3092,0.0030,0.0096,0.286
84,5.8539,57.280,17.50,4,0.3084,0.3049,0.3079,0.0029,0.0097,0.276
85,5.9252,57.441,17.50,4,0.3077,0.3050,0.3079,0.0030,0.0098,0.262
86,5.9982,57.140,17.50,4,0.3072,0.3057,0.3086,0.0030,0.0097,0.302
87,6.0705,58.310,17.50,4,0.3065,0.3058,0.3089,0.0030,0.0099,0.235
88,6.1430,57.636,17.50,4,0.3061,0.3056,0.3085,0.0029,0.0096,0.283
89,6.2138,57.439,17.50,4,0.3058,0.3053,0.3081,0.0028,0.0092,0.304
90,6.2826,53.719,17.49,4,0.3049,0.3044,0.3075,0.0031,0.0103,0.272
